产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMMFWD,商品,STRIKE_PRICE,浮点数,行权价,,正数
COMMFWD,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMMFWD,商品,UNDERLYING_CODE,字符串,标的代码,,
COMMOPT,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMMOPT,商品,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
COMMOPT,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMMOPT,商品,CURRENCY_CODE,字符串,货币代码,,
COMMOPT,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMMOPT,商品,FRTB_COMM_ASSET,字符串,,,
COMMOPT,商品,FRTB_COMM_BUCKET,字符串,,,
COMMOPT,商品,FRTB_COMM_LOCATION,字符串,,,
COMMOPT,商品,INSTRUMENT_ID,字符串,交易编号,,
COMMOPT,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMMOPT,商品,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
COMMOPT,商品,PRICE_CURVE,字符串,价格曲线,,
COMMOPT,商品,PRODUCT_CODE,字符串,产品代码,,
COMMOPT,商品,SETTLE_CURRENCY_CODE,字符串,结算货币,,
COMMOPT,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMMOPT,商品,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
COMMOPT,商品,STRIKE_CURRENCY_CODE,字符串,,,
COMMOPT,商品,STRIKE_PRICE,浮点数,行权价,,正数
COMMOPT,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMMOPT,商品,UNDERLYING_CODE,字符串,标的代码,,
COMMOPT,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMMSWAP,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMMSWAP,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMMSWAP,商品,CURRENCY_CODE,字符串,货币代码,,
COMMSWAP,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMMSWAP,商品,FRTB_COMM_ASSET,字符串,,,
COMMSWAP,商品,FRTB_COMM_BUCKET,字符串,,,
