产品类型,资产大类,字段,Java字段名,字段类型,字段含义,值域,特殊规则
EQ_WEDDING_CAKE,权益,OUTER_LOWER_BARRIER,outerLowerBarrier,浮点数,外层下障碍,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,OUTER_UPPER_BARRIER,outerUpperBarrier,浮点数,外层上障碍,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,OUT_RATE,outRate,浮点数,外层收益率,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_WEDDING_CAKE,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
FXFWD,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,数据域=TRADE；必填(校验规则)
FXFWD,外汇,BASE_CURRENCY_NOTIONAL,baseCurrencyNotional,浮点数,,,数据域=TRADE；必填(校验规则)
FXFWD,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FXFWD,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FXFWD,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FXFWD,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FXFWD,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FXFWD,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,数据域=TRADE；必填(校验规则)
FXFWD,外汇,UNDERLYING_CURRENCY_NOTIONAL,underlyingCurrencyNotional,浮点数,,,数据域=TRADE；必填(校验规则)
FXFWD,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FXOPT,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FXOPT,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FXOPT,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FXOPT,外汇,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
FXOPT,外汇,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
FXOPT,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,
FXOPT,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FXOPT,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
FXOPT,外汇,OPTION_TYPE,optionType,字符串,期权类型,,
FXOPT,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FXOPT,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
FXOPT,外汇,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,
FXOPT,外汇,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
FXOPT,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FXOPT,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FXOPT,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
FXSWAP,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,数据域=TRADE；必填(校验规则)
FXSWAP,外汇,BASE_CURRENCY_NOTIONAL_FWD,baseCurrencyNotionalFwd,浮点数,,,
FXSWAP,外汇,BASE_CURRENCY_NOTIONAL_SPOT,baseCurrencyNotionalSpot,浮点数,,,数据域=TRADE；必填(校验规则)
FXSWAP,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FXSWAP,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FXSWAP,外汇,FWD_SETTLE_DATE,fwdSettleDate,日期,,,数据域=TRADE；必填(校验规则)
FXSWAP,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FXSWAP,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FXSWAP,外汇,SPOT_SETTLE_DATE,spotSettleDate,日期,,,数据域=TRADE；必填(校验规则)
FXSWAP,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,数据域=TRADE；必填(校验规则)
FXSWAP,外汇,UNDERLYING_CURRENCY_NOTIONAL_FWD,underlyingCurrencyNotionalFwd,浮点数,,,
FXSWAP,外汇,UNDERLYING_CURRENCY_NOTIONAL_SPOT,underlyingCurrencyNotionalSpot,浮点数,,,数据域=TRADE；必填(校验规则)
FXSWAP,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FX_ASIAN,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,,,
FX_ASIAN,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,,,
FX_ASIAN,外汇,BUY_OR_SELL,buyOrSell,字符串,,B|S,
FX_ASIAN,外汇,CALL_OR_PUT,callOrPut,字符串,,,
FX_ASIAN,外汇,CONTRACT_SIZE,contractSize,字符串,,,
FX_ASIAN,外汇,CURRENCY_CODE,currencyCode,字符串,,,
FX_ASIAN,外汇,FIXING_ID,fixingId,字符串,,,
FX_ASIAN,外汇,INSTRUMENT_ID,instrumentId,字符串,,,数据域=TRADE；通用校验字段(存在时校验)
FX_ASIAN,外汇,MATURITY_DATE,maturityDate,日期,,,
FX_ASIAN,外汇,OBS_END_DATE,obsEndDate,日期,,,
FX_ASIAN,外汇,OBS_START_DATE,obsStartDate,日期,,,
FX_ASIAN,外汇,PRODUCT_CODE,productCode,字符串,,,数据域=TRADE；通用校验字段(存在时校验)
FX_ASIAN,外汇,SETTLE_DATE,settleDate,日期,,,
FX_ASIAN,外汇,SETTLE_TYPE,settleType,字符串,,,
FX_ASIAN,外汇,STRIKE_PRICE,strikePrice,浮点数,,,
FX_ASIAN,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,,,
FX_ASIAN,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,,,
FX_ASIAN,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,,,
FX_BARRIER,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FX_BARRIER,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FX_BARRIER,外汇,BASE_PAYOFF,basePayoff,浮点数,基础赔付,,
FX_BARRIER,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FX_BARRIER,外汇,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
FX_BARRIER,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,
FX_BARRIER,外汇,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
FX_BARRIER,外汇,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,
FX_BARRIER,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_BARRIER,外汇,KNOCK_OUT_FLAG,knockOutFlag,字符串,敲出标志,,
FX_BARRIER,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
FX_BARRIER,外汇,OPTION_TYPE,optionType,字符串,期权类型,,
FX_BARRIER,外汇,PAYOFF_LOWER,payoffLower,浮点数,下行赔付,,
FX_BARRIER,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_BARRIER,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
FX_BARRIER,外汇,TOUCH_BEFORE_FLAG,touchBeforeFlag,字符串,,,
FX_BARRIER,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FX_BARRIER,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FX_BARRIER,外汇,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,
FX_BARRIER,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_BARRIER,外汇,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
FX_DIGITAL,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FX_DIGITAL,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FX_DIGITAL,外汇,BASE_PAYOFF,basePayoff,浮点数,基础赔付,,
FX_DIGITAL,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FX_DIGITAL,外汇,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
FX_DIGITAL,外汇,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
FX_DIGITAL,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,
FX_DIGITAL,外汇,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
FX_DIGITAL,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_DIGITAL,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
FX_DIGITAL,外汇,PAYOFF_LOWER,payoffLower,浮点数,下行赔付,,
FX_DIGITAL,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_DIGITAL,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
FX_DIGITAL,外汇,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
FX_DIGITAL,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FX_DIGITAL,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FX_DIGITAL,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_DIGITAL,外汇,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
FX_RANGE_ACCURE,外汇,ABS_FLAG,absFlag,布尔,,,
FX_RANGE_ACCURE,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FX_RANGE_ACCURE,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FX_RANGE_ACCURE,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FX_RANGE_ACCURE,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,
FX_RANGE_ACCURE,外汇,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
FX_RANGE_ACCURE,外汇,EPS,eps,浮点数,,,
FX_RANGE_ACCURE,外汇,FIXING_ID,fixingId,字符串,定盘ID,,
FX_RANGE_ACCURE,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_RANGE_ACCURE,外汇,LOWER_BARRIER,lowerBarrier,浮点数,下障碍,,
FX_RANGE_ACCURE,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
FX_RANGE_ACCURE,外汇,MODEL_TYPE,modelType,字符串,,CONST_VOL|LOCAL_VOL|HESTON,
FX_RANGE_ACCURE,外汇,NOTIONAL,notional,浮点数,名义金额,,非负有限数
FX_RANGE_ACCURE,外汇,OBS_DATES,obsDates,字符串,,,
FX_RANGE_ACCURE,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_RANGE_ACCURE,外汇,RANGE_ACCURE_RATE,rangeAccureRate,浮点数,,,
FX_RANGE_ACCURE,外汇,RANGE_DIRECTION,rangeDirection,字符串,区间方向,,
FX_RANGE_ACCURE,外汇,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
FX_RANGE_ACCURE,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
FX_RANGE_ACCURE,外汇,START_DATE,startDate,日期,起息日,,yyyyMMdd
FX_RANGE_ACCURE,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FX_RANGE_ACCURE,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FX_RANGE_ACCURE,外汇,UPPER_BARRIER,upperBarrier,浮点数,上障碍价,,
FX_RANGE_ACCURE,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_SHARKFIN,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FX_SHARKFIN,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FX_SHARKFIN,外汇,BASE_RATE,baseRate,浮点数,基础收益率,,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)；默认值=1
FX_SHARKFIN,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
FX_SHARKFIN,外汇,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,FIXING_ID,fixingId,字符串,定盘ID,,
FX_SHARKFIN,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_SHARKFIN,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,OPTION_TYPE,optionType,字符串,期权类型,,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_SHARKFIN,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；默认值=CASH
FX_SHARKFIN,外汇,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数；数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,TOUCH_RATE,touchRate,浮点数,触碰收益率,,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FX_SHARKFIN,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FX_SHARKFIN,外汇,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
FX_SHARKFIN,外汇,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
FX_SPREADOPT,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,数据域=TRADE；默认值=CALL
FX_SPREADOPT,外汇,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)；默认值=1
FX_SPREADOPT,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,
FX_SPREADOPT,外汇,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,FIXING_ID,fixingId,字符串,定盘ID,,
FX_SPREADOPT,外汇,INITIAL_PRICE,initialPrice,浮点数,,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_SPREADOPT,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,OPTION_TYPE,optionType,字符串,期权类型,Call|Put,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_SPREADOPT,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；必填(校验规则)；默认值=CASH
FX_SPREADOPT,外汇,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
FX_SPREADOPT,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
FX_SPREADOPT,外汇,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
FX_STEP_UP,外汇,ABS_FLAG,absFlag,布尔,,,
FX_STEP_UP,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FX_STEP_UP,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,
FX_STEP_UP,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
FX_STEP_UP,外汇,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
FX_STEP_UP,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,
FX_STEP_UP,外汇,DAY_COUNT_BASIS,dayCountBasis,字符串,日计数基准,"actual/365,actual/360,30/360",
FX_STEP_UP,外汇,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
FX_STEP_UP,外汇,EPS,eps,浮点数,,,
FX_STEP_UP,外汇,FIXING_DATE,fixingDate,日期,,,
FX_STEP_UP,外汇,FIXING_ID,fixingId,字符串,定盘ID,,
FX_STEP_UP,外汇,HIGH_RATE,highRate,浮点数,高收益率,,
FX_STEP_UP,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_STEP_UP,外汇,LOWER_BARRIER,lowerBarrier,浮点数,下障碍,,
FX_STEP_UP,外汇,LOW_RATE,lowRate,浮点数,低收益率,,
FX_STEP_UP,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
FX_STEP_UP,外汇,MID_RATE,midRate,浮点数,中间收益率,,
FX_STEP_UP,外汇,MODEL_TYPE,modelType,字符串,,CONST_VOL|LOCAL_VOL|HESTON,
FX_STEP_UP,外汇,NOTIONAL,notional,浮点数,名义金额,,非负有限数
FX_STEP_UP,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_STEP_UP,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
FX_STEP_UP,外汇,START_DATE,startDate,日期,起息日,,yyyyMMdd
FX_STEP_UP,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FX_STEP_UP,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,
FX_STEP_UP,外汇,UPPER_BARRIER,upperBarrier,浮点数,上障碍价,,
FX_STEP_UP,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_STEP_UP,外汇,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
FX_WEDDING_CAKE,外汇,ABS_FLAG,absFlag,布尔,,,
FX_WEDDING_CAKE,外汇,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
FX_WEDDING_CAKE,外汇,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,基础折现曲线,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
FX_WEDDING_CAKE,外汇,EPS,eps,浮点数,,,
FX_WEDDING_CAKE,外汇,FIXING_ID,fixingId,字符串,定盘ID,,
FX_WEDDING_CAKE,外汇,INNER_LOWER_BARRIER,innerLowerBarrier,浮点数,内层下障碍,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,INNER_RATE,innerRate,浮点数,内层收益率,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,INNER_UPPER_BARRIER,innerUpperBarrier,浮点数,内层上障碍,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
FX_WEDDING_CAKE,外汇,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,MID_RATE,midRate,浮点数,中间收益率,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,OUTER_LOWER_BARRIER,outerLowerBarrier,浮点数,外层下障碍,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,OUTER_UPPER_BARRIER,outerUpperBarrier,浮点数,外层上障碍,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,OUT_RATE,outRate,浮点数,外层收益率,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
FX_WEDDING_CAKE,外汇,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
FX_WEDDING_CAKE,外汇,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,标的折现曲线,,数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
FX_WEDDING_CAKE,外汇,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
IRSCCS,利率,CURRENCY_CODE,currencyCode,字符串,货币代码,,
IRSCCS,利率,DATA_DATE,dataDate,日期,,,
IRSCCS,利率,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
IRSCCS,利率,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
IRSCCS,利率,NOTIONAL_EXCHANGE_TYPE,notionalExchangeType,字符串,,,
IRSCCS,利率,PAY_CURRENCY_CODE,payCurrencyCode,字符串,支付货币,,数据域=TRADE；必填(校验规则)
IRSCCS,利率,PAY_DAY_COUNT_BASIS,payDayCountBasis,字符串,支付日计数,,数据域=TRADE；必填(校验规则)；默认值=Actual/365
IRSCCS,利率,PAY_DISCOUNT_CURVE,payDiscountCurve,字符串,支付折现曲线,,数据域=TRADE；必填(校验规则)
IRSCCS,利率,PAY_FIXING_CALENDAR,payFixingCalendar,字符串,,,
IRSCCS,利率,PAY_FIXING_DAYOFF,payFixingDayoff,浮点数,,,数据域=TRADE；默认值=0
IRSCCS,利率,PAY_FIXING_FREQ,payFixingFreq,字符串,,,
IRSCCS,利率,PAY_FIXING_ID,payFixingId,字符串,支付定盘ID,,
IRSCCS,利率,PAY_FIXING_RULE,payFixingRule,字符串,,,数据域=TRADE；默认值=Regular_Preceding
IRSCCS,利率,PAY_FREQ,payFreq,字符串,付息频率,M/Q/S/A,数据域=TRADE；必填(校验规则)
IRSCCS,利率,PAY_INTEREST,payInterest,浮点数,,,数据域=TRADE；默认值=0
IRSCCS,利率,PAY_INTEREST_TYPE,payInterestType,字符串,,Fixed|Floating,数据域=TRADE；必填(校验规则)；默认值=Fixed
IRSCCS,利率,PAY_LAST_FIXING_RATE,payLastFixingRate,浮点数,,,数据域=TRADE；默认值=0
IRSCCS,利率,PAY_NOTIONAL,payNotional,浮点数,支付名义金额,,数据域=TRADE；必填(校验规则)
IRSCCS,利率,PAY_REFERENCE_CURVE,payReferenceCurve,字符串,支付定盘曲线,,
IRSCCS,利率,PAY_RESET_FREQ,payResetFreq,字符串,,,
IRSCCS,利率,PAY_SETTLE_CALENDAR,paySettleCalendar,字符串,,,
IRSCCS,利率,PAY_SETTLE_DAYOFF,paySettleDayoff,浮点数,,,数据域=TRADE；默认值=0
IRSCCS,利率,PAY_SETTLE_RULE,paySettleRule,字符串,,,数据域=TRADE；默认值=Regular_Following
IRSCCS,利率,PAY_SPREAD,paySpread,浮点数,,,数据域=TRADE；默认值=0
IRSCCS,利率,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
