产品类型,资产大类,字段,Java字段名,字段类型,字段含义,值域,特殊规则
CDS,信用,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key；数据域=TRADE；必填(校验规则)
CDS,信用,FIXED_PREMIUM,fixedPremium,字符串,,,
CDS,信用,FIXED_RATE,fixedRate,浮点数,固定利率,,数据域=TRADE；必填(校验规则)；默认值=0
CDS,信用,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
CDS,信用,INTEREST_STUB,interestStub,字符串,,,数据域=TRADE/UNDERLYING_DATA；默认值=LongEnd
CDS,信用,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE/UNDERLYING_DATA；必填(校验规则)
CDS,信用,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE/UNDERLYING_DATA；必填(校验规则)；默认值=100
CDS,信用,PAY_FREQ,payFreq,字符串,付息频率,M/Q/S/A,数据域=TRADE；必填(校验规则)
CDS,信用,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
CDS,信用,RECOVERY_RATE,recoveryRate,浮点数,回收率,,数据域=TRADE；必填(校验规则)；默认值=0.4
CDS,信用,SETTLE_CALENDAR,settleCalendar,字符串,结算日历,,
CDS,信用,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
CDS,信用,UNDERLYING_BOND_ID,underlyingBondId,字符串,,,数据域=TRADE；必填(校验规则)
COMMFWD,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMMFWD,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
COMMFWD,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMMFWD,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMMFWD,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,数据域=TRADE；默认值=null
COMMFWD,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,数据域=TRADE；默认值=Bucket 11
COMMFWD,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,数据域=TRADE；默认值=null
COMMFWD,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMMFWD,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMMFWD,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMMFWD,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMMFWD,商品,STRIKE_CURRENCY_CODE,strikeCurrencyCode,字符串,行权货币,,
COMMFWD,商品,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
COMMFWD,商品,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,数据域=TRADE；必填(校验规则)
COMMOPT,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMMOPT,商品,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
COMMOPT,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
COMMOPT,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMMOPT,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMMOPT,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,数据域=TRADE；默认值=null
COMMOPT,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,数据域=TRADE；默认值=Bucket 11
COMMOPT,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,数据域=TRADE；默认值=null
COMMOPT,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMMOPT,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
COMMOPT,商品,OPTION_TYPE,optionType,字符串,期权类型,,数据域=TRADE；默认值=EUROPEAN
COMMOPT,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMMOPT,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMMOPT,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
COMMOPT,商品,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；默认值=PHYSICAL
COMMOPT,商品,STRIKE_CURRENCY_CODE,strikeCurrencyCode,字符串,行权货币,,
COMMOPT,商品,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
COMMOPT,商品,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,
COMMOPT,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
COMMSWAP,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMMSWAP,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
COMMSWAP,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMMSWAP,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMMSWAP,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,数据域=TRADE；默认值=null
COMMSWAP,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,数据域=TRADE；默认值=Bucket 11
COMMSWAP,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,数据域=TRADE；默认值=null
COMMSWAP,商品,FWD_SETTLE_DATE,fwdSettleDate,日期,,,数据域=TRADE；必填(校验规则)
COMMSWAP,商品,FWD_STRIKE,fwdStrike,浮点数,,,
COMMSWAP,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMMSWAP,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMMSWAP,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMMSWAP,商品,SPOT_SETTLE_DATE,spotSettleDate,日期,,,数据域=TRADE；必填(校验规则)
COMMSWAP,商品,SPOT_STRIKE,spotStrike,浮点数,,,
COMMSWAP,商品,STRIKE_CURRENCY_CODE,strikeCurrencyCode,字符串,行权货币,,
