产品类型,输入字段,字段名称,字段类型,值域,特殊格式说明
BOND,ABS_FLAG,ABS标志,boolean,true/false,
BOND,AMORTIZATION_SCHEDULE,摊还计划,List<StructuredCashflow.AmortizationEntry>,,子JSON字符串或结构化计划
BOND,DIRTY_PRICE,净价脏价标识,Double,,
BOND,BOND_ID,债券编号,String,,
BOND,CALLPUT_DATES,赎回回售日期集合,List<CallPutDate>,,日期对象列表，日期格式 yyyyMMdd
BOND,CREDIT_SPREAD_CURVE,信用利差曲线,String,,市场数据键
BOND,CURRENCY_CODE,产品计价币种,String,,
BOND,DATA_DATE,数据日期,LocalDate,,日期格式 yyyyMMdd
BOND,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
BOND,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
BOND,DRC_FLAG,DRC_FLAG,String,,
BOND,DRC_LGD,DRC_LGD,Double,,
BOND,FIXING_CURVE,定盘曲线,String,,市场数据键
BOND,FIXING_FREQ,定盘频率,String,1D/1W/1M/3M/6M/1Y...,
BOND,FIXING_ID,定盘标识,String,,
BOND,FRTB_CSR_BUCKET,FRTB信用桶,String,,
BOND,FRTB_NSEC_DRC_BUCKET,非证券化DRC桶,String,,
BOND,FRTB_SECNCTP_DRC_RW,证券化DRC权重,Double,,
BOND,FRTB_SECNCTP_DRC_TYPE,证券化DRC类型,String,,
BOND,INSTRUMENT_ID,交易编号,String,,
BOND,INTEREST_RATE,票息/固定利率,Double,,
BOND,INTEREST_STUB,INTEREST_STUB,String,,
BOND,INTEREST_TYPE,利率类型,String,Fixed/Floating,
BOND,ISSUE_DATE,发行日期,LocalDate,,日期格式 yyyyMMdd
BOND,ISSUER,发行人,String,,
BOND,ISSUER_RATING,发行人评级,String,,
BOND,LAST_RESET_RATE,LAST_RESET_RATE,Double,,
BOND,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
BOND,NOTIONAL,名义金额,Double,>=0,
BOND,PAY_FREQ,付息频率,String,1D/1W/1M/3M/6M/1Y...,
BOND,POSITION_TRADE,持仓方向,Double,,
BOND,PRODUCT_CODE,产品代码,String,,
BOND,RESET_DAYOFF,重置节假日调整,Integer,,
BOND,RESET_FREQ,重置频率,String,1D/1W/1M/3M/6M/1Y...,
BOND,RESET_RULE,重置规则,String,,
BOND,SETTLE_CALENDAR,结算日历,String,,日历代码
BOND,SETTLE_DAYOFF,结算节假日调整,Integer,,
BOND,SETTLE_RULE,结算规则,String,,
BOND,SPREAD,利差,Double,,
BOND_FUTURE,ABS_FLAG,ABS标志,boolean,true/false,
BOND_FUTURE,CONVERT_FACTORS,转换因子,JSONArray,,多值字符串或JSON数组
BOND_FUTURE,CURRENCY_CODE,产品计价币种,String,,
BOND_FUTURE,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
BOND_FUTURE,FRTB_CSR_BUCKET,FRTB信用桶,String,,
BOND_FUTURE,FUTURE_PRICE,期货价格,Double,,
BOND_FUTURE,INSTRUMENT_ID,交易编号,String,,
BOND_FUTURE,ISSUER,发行人,String,,
BOND_FUTURE,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
BOND_FUTURE,PRODUCT_CODE,产品代码,String,,
BOND_FUTURE,UNDERLYING_POSITION,标的持仓,Double,,
CAPFLOOR,BUY_OR_SELL,买卖方向,String,B/S,
CAPFLOOR,CAP_OR_FLOOR,上限下限类型,String,Cap/Floor,
CAPFLOOR,CURRENCY_CODE,产品计价币种,String,,
CAPFLOOR,DATA_DATE,数据日期,LocalDate,,日期格式 yyyyMMdd
CAPFLOOR,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
CAPFLOOR,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
CAPFLOOR,FIXING_CALENDAR,定盘日历,String,,日历代码
CAPFLOOR,FIXING_CURVE,定盘曲线,String,,市场数据键
CAPFLOOR,FIXING_DAYOFF,定盘节假日调整,Integer,,
CAPFLOOR,FIXING_FREQ,定盘频率,String,1D/1W/1M/3M/6M/1Y...,
CAPFLOOR,FIXING_ID,定盘标识,String,,
CAPFLOOR,FIXING_RULE,定盘规则,String,,
CAPFLOOR,INSTRUMENT_ID,交易编号,String,,
CAPFLOOR,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
CAPFLOOR,NOTIONAL,名义金额,Double,>=0,
CAPFLOOR,PAY_FREQ,付息频率,String,1D/1W/1M/3M/6M/1Y...,
CAPFLOOR,PRODUCT_CODE,产品代码,String,,
CAPFLOOR,RESET_FREQ,重置频率,String,1D/1W/1M/3M/6M/1Y...,
CAPFLOOR,SETTLE_CALENDAR,结算日历,String,,日历代码
CAPFLOOR,SETTLE_DAYOFF,结算节假日调整,Integer,,
CAPFLOOR,SETTLE_RULE,结算规则,String,,
CAPFLOOR,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
CAPFLOOR,STRIKE_RATE,执行利率,Double,,
CAPFLOOR,VALUATION_MODEL,估值模型,String,BACHELIER/BLACK76/BLACK/LOGNORMAL,
CAPFLOOR,VOLATILITY_SURFACE,波动率曲面,String,,
CDS,BUY_OR_SELL,买卖方向,String,B/S,
CDS,CURRENCY_CODE,产品计价币种,String,,
CDS,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
CDS,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
CDS,FIXED_PREMIUM,固定保费,String,,子JSON字符串/数组
CDS,FIXED_RATE,固定端利率,Double,,
CDS,INSTRUMENT_ID,交易编号,String,,
CDS,INTEREST_STUB,INTEREST_STUB,String,,
CDS,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
CDS,NOTIONAL,名义金额,Double,>=0,
CDS,PAY_FREQ,付息频率,String,1D/1W/1M/3M/6M/1Y...,
CDS,PRODUCT_CODE,产品代码,String,,
CDS,RECOVERY_RATE,RECOVERY_RATE,Double,,
CDS,SETTLE_CALENDAR,结算日历,String,,日历代码
CDS,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
CDS,UNDERLYING_BOND_ID,UNDERLYING_BOND_ID,String,,
COMM_AUTO_CALL,BARRIER,障碍值,Double,,
COMM_AUTO_CALL,BARRIER_DIRECTION,障碍方向,String,,
COMM_AUTO_CALL,BUY_OR_SELL,买卖方向,String,B/S,
COMM_AUTO_CALL,CURRENCY_CODE,产品计价币种,String,,
COMM_AUTO_CALL,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_AUTO_CALL,FIXING_ID,定盘标识,String,,
COMM_AUTO_CALL,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_AUTO_CALL,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_AUTO_CALL,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_AUTO_CALL,INSTRUMENT_ID,交易编号,String,,
COMM_AUTO_CALL,NOTIONAL,名义金额,Double,>=0,
COMM_AUTO_CALL,OBS_DATES,观察日期集合,String,,多值字符串，日期格式 yyyyMMdd，逗号分隔
COMM_AUTO_CALL,PATH_FLAG,路径输出标志,Boolean,,
COMM_AUTO_CALL,PATH_NB,路径数,Integer,正整数,
COMM_AUTO_CALL,PAYOFF_RATE,PAYOFF_RATE,Double,,
COMM_AUTO_CALL,PREMIUM_RATE,权利金率,Double,,
COMM_AUTO_CALL,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_AUTO_CALL,PRODUCT_CODE,产品代码,String,,
COMM_AUTO_CALL,SETTLE_CALENDAR,结算日历,String,,日历代码
COMM_AUTO_CALL,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_AUTO_CALL,SETTLE_DAYOFF,结算节假日调整,Integer,,
COMM_AUTO_CALL,SETTLE_RULE,结算规则,String,,
COMM_AUTO_CALL,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
COMM_AUTO_CALL,UNDERLYING_CODE,标的代码,String,,
COMM_AUTO_CALL,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_BARRIER,BASE_PAYOFF,固定收益,Double,,
COMM_BARRIER,BUY_OR_SELL,买卖方向,String,B/S,
COMM_BARRIER,CONTRACT_SIZE,合约张数,Double,>=0,
COMM_BARRIER,CURRENCY_CODE,产品计价币种,String,,
COMM_BARRIER,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_BARRIER,DOWN_BARRIER,DOWN_BARRIER,Double,,
COMM_BARRIER,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_BARRIER,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_BARRIER,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_BARRIER,INSTRUMENT_ID,交易编号,String,,
COMM_BARRIER,KNOCK_OUT_FLAG,敲出标志,String,true/false,
COMM_BARRIER,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_BARRIER,OPTION_TYPE,期权类型,String,Call/Put/Double,
COMM_BARRIER,PAYOFF_LOWER,下限收益,Double,,
COMM_BARRIER,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_BARRIER,PRODUCT_CODE,产品代码,String,,
COMM_BARRIER,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_BARRIER,TOUCH_BEFORE_FLAG,历史触碰标志,String,true/false,
COMM_BARRIER,UNDERLYING_CODE,标的代码,String,,
COMM_BARRIER,UPPER_BARRIER,UPPER_BARRIER,Double,,
COMM_BARRIER,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_BARRIER,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
COMM_DIGITAL,BASE_PAYOFF,固定收益,Double,,
COMM_DIGITAL,BUY_OR_SELL,买卖方向,String,B/S,
COMM_DIGITAL,CALL_OR_PUT,看涨看跌,String,Call/Put,
COMM_DIGITAL,CONTRACT_SIZE,合约张数,Double,>=0,
COMM_DIGITAL,CURRENCY_CODE,产品计价币种,String,,
COMM_DIGITAL,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_DIGITAL,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_DIGITAL,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_DIGITAL,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_DIGITAL,INSTRUMENT_ID,交易编号,String,,
COMM_DIGITAL,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_DIGITAL,PAYOFF_LOWER,下限收益,Double,,
COMM_DIGITAL,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_DIGITAL,PRODUCT_CODE,产品代码,String,,
COMM_DIGITAL,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_DIGITAL,STRIKE_PRICE,行权价,Double,,
COMM_DIGITAL,UNDERLYING_CODE,标的代码,String,,
COMM_DIGITAL,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_DIGITAL,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
COMM_RANGE_ACCURE,ABS_FLAG,ABS标志,Boolean,true/false,
COMM_RANGE_ACCURE,BUY_OR_SELL,买卖方向,String,B/S,
COMM_RANGE_ACCURE,CURRENCY_CODE,产品计价币种,String,,
COMM_RANGE_ACCURE,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_RANGE_ACCURE,EPS,数值精度,Double,,
COMM_RANGE_ACCURE,FIXING_ID,定盘标识,String,,
COMM_RANGE_ACCURE,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_RANGE_ACCURE,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_RANGE_ACCURE,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_RANGE_ACCURE,INSTRUMENT_ID,交易编号,String,,
COMM_RANGE_ACCURE,LOWER_BARRIER,LOWER_BARRIER,Double,,
COMM_RANGE_ACCURE,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_RANGE_ACCURE,NOTIONAL,名义金额,Double,>=0,
COMM_RANGE_ACCURE,OBS_DATES,观察日期集合,String,,多值字符串，日期格式 yyyyMMdd，逗号分隔
COMM_RANGE_ACCURE,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_RANGE_ACCURE,PRODUCT_CODE,产品代码,String,,
COMM_RANGE_ACCURE,RANGE_ACCURE_RATE,区间累计收益率,Double,,
COMM_RANGE_ACCURE,RANGE_DIRECTION,区间方向,String,,
COMM_RANGE_ACCURE,SETTLE_CURRENCY_CODE,结算币种,String,,
COMM_RANGE_ACCURE,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_RANGE_ACCURE,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
COMM_RANGE_ACCURE,UNDERLYING_CODE,标的代码,String,,
COMM_RANGE_ACCURE,UPPER_BARRIER,UPPER_BARRIER,Double,,
COMM_RANGE_ACCURE,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_SHARKFIN,BASE_RATE,基础收益率,Double,,
COMM_SHARKFIN,BUY_OR_SELL,买卖方向,String,B/S,
COMM_SHARKFIN,CONTRACT_SIZE,合约张数,Double,>=0,
COMM_SHARKFIN,CURRENCY_CODE,产品计价币种,String,,
COMM_SHARKFIN,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_SHARKFIN,DOWN_BARRIER,DOWN_BARRIER,Double,,
COMM_SHARKFIN,FIXING_ID,定盘标识,String,,
COMM_SHARKFIN,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_SHARKFIN,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_SHARKFIN,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_SHARKFIN,INSTRUMENT_ID,交易编号,String,,
COMM_SHARKFIN,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_SHARKFIN,NOTIONAL,名义金额,Double,>=0,
COMM_SHARKFIN,OPTION_TYPE,期权类型,String,Call/Put/Double,
COMM_SHARKFIN,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_SHARKFIN,PRODUCT_CODE,产品代码,String,,
COMM_SHARKFIN,SETTLE_CURRENCY_CODE,结算币种,String,,
COMM_SHARKFIN,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_SHARKFIN,SETTLE_TYPE,SETTLE_TYPE,String,,
COMM_SHARKFIN,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
COMM_SHARKFIN,STRIKE_PRICE,行权价,Double,,
COMM_SHARKFIN,TOUCH_RATE,触碰收益率,Double,,
COMM_SHARKFIN,UNDERLYING_CODE,标的代码,String,,
COMM_SHARKFIN,UPPER_BARRIER,UPPER_BARRIER,Double,,
COMM_SHARKFIN,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_SHARKFIN,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
COMM_SPREADOPT,BASE_CURRENCY_CODE,基准币种,String,,
COMM_SPREADOPT,BUY_OR_SELL,买卖方向,String,B/S,
COMM_SPREADOPT,CALL_OR_PUT,看涨看跌,String,Call/Put,
COMM_SPREADOPT,CONTRACT_SIZE,合约张数,Double,>=0,
COMM_SPREADOPT,CURRENCY_CODE,产品计价币种,String,,
COMM_SPREADOPT,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_SPREADOPT,DOWN_BARRIER,DOWN_BARRIER,Double,,
COMM_SPREADOPT,FIXING_ID,定盘标识,String,,
COMM_SPREADOPT,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_SPREADOPT,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_SPREADOPT,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_SPREADOPT,INITIAL_PRICE,INITIAL_PRICE,Double,,
COMM_SPREADOPT,INSTRUMENT_ID,交易编号,String,,
COMM_SPREADOPT,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_SPREADOPT,NOTIONAL,名义金额,Double,>=0,
COMM_SPREADOPT,OPTION_TYPE,期权类型,String,Call/Put/Double,
COMM_SPREADOPT,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_SPREADOPT,PRODUCT_CODE,产品代码,String,,
COMM_SPREADOPT,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_SPREADOPT,SETTLE_TYPE,SETTLE_TYPE,String,,
COMM_SPREADOPT,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
COMM_SPREADOPT,STRIKE_PRICE,行权价,Double,,
COMM_SPREADOPT,UNDERLYING_CODE,标的代码,String,,
COMM_SPREADOPT,UNDERLYING_CURRENCY_CODE,标的币种,String,,
COMM_SPREADOPT,UPPER_BARRIER,UPPER_BARRIER,Double,,
COMM_SPREADOPT,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_SPREADOPT,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
COMM_STEP_UP,ABS_FLAG,ABS标志,Boolean,true/false,
COMM_STEP_UP,BUY_OR_SELL,买卖方向,String,B/S,
COMM_STEP_UP,CALL_OR_PUT,看涨看跌,String,Call/Put,
COMM_STEP_UP,CURRENCY_CODE,产品计价币种,String,,
COMM_STEP_UP,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
COMM_STEP_UP,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_STEP_UP,EPS,数值精度,Double,,
COMM_STEP_UP,FIXING_DATE,FIXING_DATE,LocalDate,,日期格式 yyyyMMdd
COMM_STEP_UP,FIXING_ID,定盘标识,String,,
COMM_STEP_UP,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_STEP_UP,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_STEP_UP,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_STEP_UP,HIGH_RATE,高区间收益率,Double,,
COMM_STEP_UP,INSTRUMENT_ID,交易编号,String,,
COMM_STEP_UP,LOW_RATE,低区间收益率,Double,,
COMM_STEP_UP,LOWER_BARRIER,LOWER_BARRIER,Double,,
COMM_STEP_UP,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_STEP_UP,MID_RATE,中层收益率,Double,,
COMM_STEP_UP,NOTIONAL,名义金额,Double,>=0,
COMM_STEP_UP,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_STEP_UP,PRODUCT_CODE,产品代码,String,,
COMM_STEP_UP,SETTLE_CURRENCY_CODE,结算币种,String,,
COMM_STEP_UP,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_STEP_UP,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
COMM_STEP_UP,UNDERLYING_CODE,标的代码,String,,
COMM_STEP_UP,UPPER_BARRIER,UPPER_BARRIER,Double,,
COMM_STEP_UP,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_STEP_UP,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
COMM_WEDDING_CAKE,ABS_FLAG,ABS标志,Boolean,true/false,
COMM_WEDDING_CAKE,BUY_OR_SELL,买卖方向,String,B/S,
COMM_WEDDING_CAKE,CONTRACT_SIZE,合约张数,Double,>=0,
COMM_WEDDING_CAKE,CURRENCY_CODE,产品计价币种,String,,
COMM_WEDDING_CAKE,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMM_WEDDING_CAKE,EPS,数值精度,Double,,
COMM_WEDDING_CAKE,FIXING_ID,定盘标识,String,,
COMM_WEDDING_CAKE,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMM_WEDDING_CAKE,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMM_WEDDING_CAKE,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMM_WEDDING_CAKE,INNER_LOWER_BARRIER,内层下障碍,Double,,
COMM_WEDDING_CAKE,INNER_RATE,内层收益率,Double,,
COMM_WEDDING_CAKE,INNER_UPPER_BARRIER,内层上障碍,Double,,
COMM_WEDDING_CAKE,INSTRUMENT_ID,交易编号,String,,
COMM_WEDDING_CAKE,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMM_WEDDING_CAKE,MID_RATE,中层收益率,Double,,
COMM_WEDDING_CAKE,NOTIONAL,名义金额,Double,>=0,
COMM_WEDDING_CAKE,OUT_RATE,外层收益率,Double,,
COMM_WEDDING_CAKE,OUTER_LOWER_BARRIER,外层下障碍,Double,,
COMM_WEDDING_CAKE,OUTER_UPPER_BARRIER,外层上障碍,Double,,
COMM_WEDDING_CAKE,PRICE_CURVE,价格曲线,String,,市场数据键
COMM_WEDDING_CAKE,PRODUCT_CODE,产品代码,String,,
COMM_WEDDING_CAKE,SETTLE_CURRENCY_CODE,结算币种,String,,
COMM_WEDDING_CAKE,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMM_WEDDING_CAKE,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
COMM_WEDDING_CAKE,UNDERLYING_CODE,标的代码,String,,
COMM_WEDDING_CAKE,VOLATILITY_SURFACE,波动率曲面,String,,
COMM_WEDDING_CAKE,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
COMMFWD,BUY_OR_SELL,买卖方向,String,B/S,
COMMFWD,CONTRACT_SIZE,合约张数,Double,>=0,
COMMFWD,CURRENCY_CODE,产品计价币种,String,,
COMMFWD,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMMFWD,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMMFWD,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMMFWD,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMMFWD,INSTRUMENT_ID,交易编号,String,,
COMMFWD,PRICE_CURVE,价格曲线,String,,市场数据键
COMMFWD,PRODUCT_CODE,产品代码,String,,
COMMFWD,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMMFWD,STRIKE_CURRENCY_CODE,执行价币种,String,,
COMMFWD,STRIKE_PRICE,行权价,Double,,
COMMFWD,UNDERLYING_CODE,标的代码,String,,
COMMOPT,BUY_OR_SELL,买卖方向,String,B/S,
COMMOPT,CALL_OR_PUT,看涨看跌,String,Call/Put,
COMMOPT,CONTRACT_SIZE,合约张数,Double,>=0,
COMMOPT,CURRENCY_CODE,产品计价币种,String,,
COMMOPT,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMMOPT,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMMOPT,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMMOPT,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMMOPT,INSTRUMENT_ID,交易编号,String,,
COMMOPT,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
COMMOPT,OPTION_TYPE,期权类型,String,Call/Put/Double,
COMMOPT,PRICE_CURVE,价格曲线,String,,市场数据键
COMMOPT,PRODUCT_CODE,产品代码,String,,
COMMOPT,SETTLE_CURRENCY_CODE,结算币种,String,,
COMMOPT,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
COMMOPT,SETTLE_TYPE,SETTLE_TYPE,String,,
COMMOPT,STRIKE_CURRENCY_CODE,执行价币种,String,,
COMMOPT,STRIKE_PRICE,行权价,Double,,
COMMOPT,UNDERLYING_CODE,标的代码,String,,
COMMOPT,VOLATILITY_SURFACE,波动率曲面,String,,
COMMSWAP,BUY_OR_SELL,买卖方向,String,B/S,
COMMSWAP,CONTRACT_SIZE,合约张数,Double,>=0,
COMMSWAP,CURRENCY_CODE,产品计价币种,String,,
COMMSWAP,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
COMMSWAP,FRTB_COMM_ASSET,FRTB_COMM_ASSET,String,,
COMMSWAP,FRTB_COMM_BUCKET,FRTB_COMM_BUCKET,String,,
COMMSWAP,FRTB_COMM_LOCATION,FRTB_COMM_LOCATION,String,,
COMMSWAP,FWD_SETTLE_DATE,远期结算日,LocalDate,,日期格式 yyyyMMdd
COMMSWAP,FWD_STRIKE,远期执行价,Double,,
COMMSWAP,INSTRUMENT_ID,交易编号,String,,
COMMSWAP,PRICE_CURVE,价格曲线,String,,市场数据键
COMMSWAP,PRODUCT_CODE,产品代码,String,,
COMMSWAP,SPOT_SETTLE_DATE,即期结算日,LocalDate,,日期格式 yyyyMMdd
COMMSWAP,SPOT_STRIKE,即期执行价,Double,,
COMMSWAP,STRIKE_CURRENCY_CODE,执行价币种,String,,
COMMSWAP,UNDERLYING_CODE,标的代码,String,,
EQ_AUTO_CALL,BARRIER,障碍值,Double,,
EQ_AUTO_CALL,BARRIER_DIRECTION,障碍方向,String,,
EQ_AUTO_CALL,BUY_OR_SELL,买卖方向,String,B/S,
EQ_AUTO_CALL,CURRENCY_CODE,产品计价币种,String,,
EQ_AUTO_CALL,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
EQ_AUTO_CALL,FIXING_ID,定盘标识,String,,
EQ_AUTO_CALL,INSTRUMENT_ID,交易编号,String,,
EQ_AUTO_CALL,NOTIONAL,名义金额,Double,>=0,
EQ_AUTO_CALL,OBS_DATES,观察日期集合,String,,多值字符串，日期格式 yyyyMMdd，逗号分隔
EQ_AUTO_CALL,PATH_FLAG,路径输出标志,Boolean,,
EQ_AUTO_CALL,PATH_NB,路径数,Integer,正整数,
EQ_AUTO_CALL,PAYOFF_RATE,PAYOFF_RATE,Double,,
EQ_AUTO_CALL,PREMIUM_RATE,权利金率,Double,,
EQ_AUTO_CALL,PRICE_CURVE,价格曲线,String,,市场数据键
EQ_AUTO_CALL,PRODUCT_CODE,产品代码,String,,
EQ_AUTO_CALL,SETTLE_CALENDAR,结算日历,String,,日历代码
EQ_AUTO_CALL,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
EQ_AUTO_CALL,SETTLE_DAYOFF,结算节假日调整,Integer,,
EQ_AUTO_CALL,SETTLE_RULE,结算规则,String,,
EQ_AUTO_CALL,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
EQ_AUTO_CALL,VOLATILITY_SURFACE,波动率曲面,String,,
EQ_BARRIER,BASE_PAYOFF,固定收益,Double,,
EQ_BARRIER,BUY_OR_SELL,买卖方向,String,B/S,
EQ_BARRIER,CONTRACT_SIZE,合约张数,Double,>=0,
EQ_BARRIER,CURRENCY_CODE,产品计价币种,String,,
EQ_BARRIER,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
EQ_BARRIER,DOWN_BARRIER,DOWN_BARRIER,Double,,
EQ_BARRIER,INSTRUMENT_ID,交易编号,String,,
EQ_BARRIER,KNOCK_OUT_FLAG,敲出标志,String,true/false,
EQ_BARRIER,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
EQ_BARRIER,OPTION_TYPE,期权类型,String,Call/Put/Double,
EQ_BARRIER,PAYOFF_LOWER,下限收益,Double,,
EQ_BARRIER,PRICE_CURVE,价格曲线,String,,市场数据键
EQ_BARRIER,PRODUCT_CODE,产品代码,String,,
EQ_BARRIER,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
EQ_BARRIER,TOUCH_BEFORE_FLAG,历史触碰标志,String,true/false,
EQ_BARRIER,UPPER_BARRIER,UPPER_BARRIER,Double,,
EQ_BARRIER,VOLATILITY_SURFACE,波动率曲面,String,,
EQ_BARRIER,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
